Land-Kz (VGA114);von Plz (VGW364);bis Plz (VGW365);Vorgabe Relation (VGE321)
AD;A;999999999;ES01
AD;A;999999999;ES01
AL;A;999999999;AL20
AL;A;999999999;AL20
AT;A;9999;AT01
AT;A;9999;AT91
AT;1000;3999;AT02
AT;4000;5999;AT01
AT;6000;6999;AT01
AT;7000;7499;AT02
AT;7500;8899;AT03
AT;8900;8999;AT01
AT;9000;9999;AT03
AZ;A;999999;AZ99
BA;A;999999;SI01
BA;A;999999;SI01
BA;A;999999;SI91
BE;000A;9999;BE28
BE;000A;9999;BE03
BE;000A;9999;BE91
BG;A;999999;BG01
BG;A;999999;AT02
BG;A;999999;BG91
BY;A;999999;BY99
CH;1000;5299;CH01
CH;1000;5299;CH91
CH;1000;5299;CH01
CH;5300;5699;CH01
CH;5300;5699;CH91
CH;5300;5699;CH01
CH;5700;5799;CH01
CH;5700;5799;CH91
CH;5700;5799;CH01
CH;6000;6099;CH01
CH;6000;6099;CH91
CH;6000;6099;CH01
CH;6100;6299;CH01
CH;6100;6299;CH91
CH;6100;6299;CH01
CH;6300;6499;CH01
CH;6300;6499;CH91
CH;6300;6499;CH01
CH;6500;6999;CH01
CH;6500;6999;CH91
CH;6500;6999;CH01
CH;7000;9699;CH01
CH;7000;9699;CH91
CH;7000;9699;CH01
CY;A;999999999;GR01
CY;A;999999999;GR01
CZ;A;999999;CZ01
CZ;A;999999;CZ01
CZ;A;999999;CZ91
DE;01000;01066;A090
DE;01067;01999;A010
DE;02000;02999;A010
DE;03042;03099;A100
DE;03103;03103;A010
DE;03116;03116;A100
DE;03119;03139;A010
DE;03149;03149;A100
DE;03159;03159;A010
DE;03172;03229;A100
DE;03238;03238;A010
DE;03246;03246;A100
DE;03249;03253;A010
DE;04103;04462;A060
DE;04463;04463;A060
DE;04464;04538;A060
DE;04539;04579;A060
DE;04600;04657;A090
DE;04658;04667;A060
DE;04668;04668;A060
DE;04669;04680;A090
DE;04681;04682;A060
DE;04683;04683;A060
DE;04684;04688;A060
DE;04689;04749;A090
DE;04750;04758;A060
DE;04759;04769;A090
DE;04770;04895;A060
DE;04910;04910;A010
DE;04911;04916;A060
DE;04917;04923;A090
DE;04924;04934;A010
DE;04935;04935;A090
DE;04936;06294;A060
DE;06295;06313;A380
DE;06314;06332;A060
DE;06333;06348;A380
DE;06349;06365;A060
DE;06366;06388;A380
DE;06389;06578;A380
DE;06579;06928;A060
DE;06929;07407;A950
DE;07408;07429;A990
DE;07430;07616;A950
DE;07617;07619;A990
DE;07620;07646;A950
DE;07647;07778;A990
DE;07779;07989;A950
DE;07990;08147;A090
DE;08148;08269;A090
DE;08270;08359;A090
DE;08360;08392;A090
DE;08393;08393;A090
DE;08394;08499;A090
DE;08500;08648;A950
DE;08649;09669;A090
DE;09670;14199;A100
DE;14200;14974;A100
DE;14975;16359;A100
DE;16360;16767;A100
DE;16768;16774;A180
DE;16775;16868;A100
DE;16869;19245;A180
DE;19247;19257;A180
DE;19259;19417;A180
DE;21757;21786;A260
DE;21788;21789;A260
DE;23623;23826;A240
DE;23629;23815;A240
DE;23818;23829;A240
DE;23923;23999;A180
DE;24103;24539;A240
DE;24576;24628;A240
DE;24631;24631;A240
DE;24634;24640;A240
DE;24644;24999;A240
DE;25524;25999;A240
DE;26121;26969;A260
DE;26970;27242;A490
DE;27243;27243;A260
DE;27244;27259;A490
DE;27283;27283;A300
DE;27299;27305;A260
DE;27308;27318;A300
DE;27321;27321;A260
DE;27324;27324;A300
DE;27327;27327;A260
DE;27330;27336;A300
DE;27337;27373;A260
DE;27374;27374;A300
DE;27375;27386;A260
DE;27404;27412;A260
DE;27432;27446;A260
DE;27472;28879;A260
DE;28880;29399;A300
DE;29400;29416;A380
DE;29439;31868;A300
DE;31869;32289;A330
DE;32290;32369;A490
DE;32370;32839;A330
DE;32840;33039;A340
DE;33040;33829;A330
DE;33830;34639;A340
DE;34640;35043;A350
DE;35044;35066;A340
DE;35067;35085;A350
DE;35086;35088;A340
DE;35089;35096;A350
DE;35097;35099;A340
DE;35100;35102;A350
DE;35103;35110;A340
DE;35111;35112;A350
DE;35113;35116;A340
DE;35117;35117;A350
DE;35118;35119;A340
DE;35120;35239;A350
DE;35240;35288;A340
DE;35289;35799;A350
DE;35800;36169;A970
DE;36170;36289;A340
